2026-07-11 18:39:36 | INFO     | plt_optimizer | Structural file detected: Bypassing chunker for 1:1 routing (1 paths)
2026-07-11 18:39:36 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_returns_rows_when_loggers0\cad_benchmark\optimized\no-opt\square_optimized.plt
2026-07-11 18:39:37 | INFO     | plt_optimizer | Starting optimization with NearestNeighbor + 2-Opt on 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Running NearestNeighbor + 2-Opt on 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:37 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:37 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_returns_rows_when_loggers0\cad_benchmark\optimized\nn2opt\square_optimized.plt
2026-07-11 18:39:37 | INFO     | plt_optimizer | Starting optimization with Cheapest Insertion Heuristic on 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Running Cheapest Insertion Heuristic on 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:37 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:37 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_returns_rows_when_loggers0\cad_benchmark\optimized\insertion\square_optimized.plt
2026-07-11 18:39:37 | INFO     | plt_optimizer | Starting optimization with Christofides-Serdyukov S-T Path (5/3 approx) on 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Running Christofides-Serdyukov S-T Path (5/3 approx) on 1 blocks
2026-07-11 18:39:37 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:37 | INFO     | plt_optimizer | Reassembling document with 1 blocks
